fault_id,fault_name,source,catalog_version,ground_truth
SIM_FAULT_001,Dry-Well Pump Off,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_002,Blocked Intake,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_003,Scale or Pump Wear,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_004,Sand Ingestion,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_005,Bearing Degradation,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_006,High Viscosity Cold Start,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_007,High Backpressure,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_008,Open Choke,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_009,Undervoltage,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_010,Phase Imbalance,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_011,Motor Overload,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_012,Power Loss,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
SIM_FAULT_013,Sensor Drift,SUPPLIED_SIMULATOR_FAULT_LIST,SIM_V1,YES
