timestamp,asset_id,motor_temperature,intake_pressure,discharge_pressure,motor_current,radial_vibration,axial_vibration,flow_rate,efficiency
2026-01-01T00:00:00,ESP-Well-001,91.5,260.97,945.74,69.72,1.14,0.67,2858.93,82.74
2026-01-01T00:10:00,ESP-Well-001,111.25,417.5,1123.61,55.79,1.17,0.4,3163.29,83.59
2026-01-01T00:20:00,ESP-Well-001,98.85,327.06,1013.05,57.57,1.29,0.57,2773.71,76.92
2026-01-01T00:30:00,ESP-Well-001,95.7,334.54,1124.53,61.02,1.19,0.6,2881.17,77.29
2026-01-01T00:40:00,ESP-Well-001,91.3,434.51,812.21,68.22,0.92,0.47,2982.69,81.9
2026-01-01T00:50:00,ESP-Well-001,102.53,348.25,1173.12,59.15,1.27,0.34,2605.63,86.26
2026-01-01T01:00:00,ESP-Well-001,90.03,288.25,989.91,69.64,1.38,0.6,2928.57,75.11
2026-01-01T01:10:00,ESP-Well-001,85.69,271.55,1156.85,55.12,0.91,0.77,3245.3,87.58
2026-01-01T01:20:00,ESP-Well-001,114.86,389.78,1133.73,56.53,1.21,0.55,2786.77,86.41
2026-01-01T01:30:00,ESP-Well-001,89.9,360.34,899.63,65.81,1.09,0.48,2547.58,81.25
2026-01-01T01:40:00,ESP-Well-001,108.44,406.61,917.84,63.79,0.74,0.74,2694.66,84.92
2026-01-01T01:50:00,ESP-Well-001,104.54,372.57,1062.26,69.21,1.11,0.46,3288.77,81.65
2026-01-01T02:00:00,ESP-Well-001,90.09,403.8,1121.77,54.17,1.32,0.68,3301.49,79.21
2026-01-01T02:10:00,ESP-Well-001,96.57,256.24,1034.85,57.27,0.78,0.67,3408.23,78.8
2026-01-01T02:20:00,ESP-Well-001,95.27,273.79,888.7,69.24,0.67,0.65,3085.13,87.43
2026-01-01T02:30:00,ESP-Well-001,105.1,358.09,863.58,66.31,1.14,0.56,3299.6,83.69
2026-01-01T02:40:00,ESP-Well-001,111.45,272.28,1184.29,52.36,1.24,0.79,3435.1,77.68
2026-01-01T02:50:00,ESP-Well-001,104.55,254.83,1091.08,67.48,0.7,0.35,2860.6,79.76
2026-01-01T03:00:00,ESP-Well-001,96.2,449.84,837.82,65.12,0.72,0.42,2720.0,77.96
2026-01-01T03:10:00,ESP-Well-001,109.55,264.82,996.4,61.7,0.97,0.71,2505.34,84.39
2026-01-01T03:20:00,ESP-Well-001,86.63,448.16,1194.52,68.65,0.9,0.68,3333.53,83.91
2026-01-01T03:30:00,ESP-Well-001,94.16,307.44,809.5,64.94,1.22,0.41,3216.2,76.13
2026-01-01T03:40:00,ESP-Well-001,94.5,251.37,1178.76,69.0,1.0,0.21,2785.91,82.42
2026-01-01T03:50:00,ESP-Well-001,108.57,428.67,960.6,66.79,0.82,0.7,2703.48,87.43
2026-01-01T04:00:00,ESP-Well-001,101.16,285.94,848.2,66.76,1.26,0.31,3438.29,87.93
2026-01-01T04:10:00,ESP-Well-001,113.62,253.49,860.15,67.53,1.11,0.35,3012.7,84.02
2026-01-01T04:20:00,ESP-Well-001,88.38,286.71,1027.5,59.39,1.39,0.66,3055.31,79.2
2026-01-01T04:30:00,ESP-Well-001,91.46,303.11,959.01,58.3,0.91,0.39,3211.78,85.64
2026-01-01T04:40:00,ESP-Well-001,104.79,430.08,948.39,57.24,0.75,0.36,3372.23,75.34
2026-01-01T04:50:00,ESP-Well-001,97.77,259.27,825.62,56.49,0.61,0.46,2964.78,78.76
2026-01-01T05:00:00,ESP-Well-001,87.71,272.57,1120.73,56.91,0.78,0.52,2598.98,85.66
2026-01-01T05:10:00,ESP-Well-001,104.08,336.8,919.71,67.49,0.95,0.21,2881.48,81.01
2026-01-01T05:20:00,ESP-Well-001,110.54,409.26,963.88,68.49,1.12,0.67,2995.83,83.55
2026-01-01T05:30:00,ESP-Well-001,93.73,332.98,1087.74,64.09,1.27,0.21,3457.91,77.03
2026-01-01T05:40:00,ESP-Well-001,105.27,291.83,1029.2,54.1,0.75,0.67,2656.0,83.39
2026-01-01T05:50:00,ESP-Well-001,90.5,307.89,1140.71,58.19,1.03,0.52,2659.59,83.0
2026-01-01T06:00:00,ESP-Well-001,99.87,351.04,1105.1,63.27,1.17,0.55,3242.21,83.26
2026-01-01T06:10:00,ESP-Well-001,113.08,321.83,1101.77,56.49,1.0,0.6,3137.31,85.54
2026-01-01T06:20:00,ESP-Well-001,103.01,319.16,1168.0,56.3,0.87,0.78,3188.68,78.71
